,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
22,0,4.48,5.05,5.67,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.48,-5.05,-5.67,-5.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.48,16.47,-5.05,-5.67,-10.23,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,5.03,0,0,0,0,0,0,5.21,0,0,0,0,0,0,0,0,0,0,0,0,-5.03,0,0,0,0,0,0,-5.21,0,0,0,0,0,0,0,5.03,0,0,0,5.21,-10.24,0,0,0
24,0,0,0,0,0,0,0,0,0,0,5.03,-5.03,0,0,0,0,0,5.21,6.432225064,0,0,0,0,0,0,0,0,0,0,0,-5.03,5.03,0,0,0,0,0,-5.21,-6.432225064,0,0,0,0,0,0,0,0,0,0,5.21,-10.24,11.46222506,-6.432225064,0
25,0,0,0,0,0,0,0,0,0,0,5.03,-4.03,0,0,0,0,0,5.21,5.153452685,0,0,0,0,0,0,0,0,0,0,0,-5.03,4.03,0,0,0,0,0,-5.21,-5.153452685,0,0,0,0,0,0,1,0,0,0,5.21,-10.24,9.183452685,-5.153452685,0
26,0,0,0,0,0,0,0,0,0,0,5.03,0,0,0,0,11.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.03,0,0,0,0,-11.83,0,0,0,0,0,0,0,0,0,5.03,0,0,11.83,-11.83,-5.03,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.83,0,-5.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.83,0,5.21,0,0,0,0,0,0,0,0,0,0,11.83,-17.04,5.21,0,0,0
28,0,0,0,0,0,0,0,0,0,0,5.03,0,0,0,0,23.25128599,0,-5.03,0,0,0,0,0,0,0,0,0,0,0,0,-5.03,0,0,0,0,-23.25128599,0,5.03,0,0,0,0,0,0,0,5.03,0,0,23.25128599,-28.28128599,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,16.45128599,0,0,0,0,11.83,0,11.83,0,0,0,0,0,0,0,0,0,0,0,0,-16.45128599,0,0,0,0,-11.83,0,-11.83,0,0,0,0,0,0,0,16.45128599,0,0,11.83,0,-28.28128599,0,0,0
30,0,0,0,0,0,0,0,0,0,0,17.41673704,0,0,0,0,11.83,0,12.83,0,0,0,0,0,0,0,0,0,0,0,0,-17.41673704,0,0,0,0,-11.83,0,-12.83,0,0,0,0,0,0,0,17.41673704,0,0,11.83,1,-30.24673704,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.68,0,11.83,0,-5.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68,0,-11.83,0,5.21,0,0,0,0,0,0,0,0,-5.68,5.68,11.83,-17.04,5.21,0,0,0
32,0,0,0,0,0,0,0,0,0,0,5.03,0,0,-5.68,0,0,0,5.21,0,0,0,0,0,0,0,0,0,0,0,0,-5.03,0,0,5.68,0,0,0,-5.21,0,0,0,0,0,0,0,5.03,-5.68,5.68,0,5.21,-10.24,0,0,0
33,0,0,5.05,0,0,-5.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.05,0,0,5.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05,-10.9,5.85,0,0,0,0,0,0,0,0,0,0
34,0,0,5.05,0,0,-5.85,0,0,0,0,0,0,0,-5.68,0,0,0,0,0,0,0,0,-5.05,0,0,5.85,0,0,0,0,0,0,0,5.68,0,0,0,0,0,0,0,5.05,-10.9,5.85,0,0,-5.68,5.68,0,0,0,0,0,0
35,0,0,0,-5.67,0,-5.85,23.75,0,0,-3.97,0,0,0,0,0,0,0,0,0,0,0,0,0,5.67,0,5.85,-23.75,0,0,3.97,0,0,0,0,0,0,0,0,0,0,0,-5.67,-5.85,35.27,-27.72,3.97,0,0,0,0,0,0,0,0
36,0,0,-5.05,-10.56461538,0,-5.05,44.25213675,0,0,-7.397094017,0,0,0,0,0,0,0,0,0,0,0,0,5.05,10.56461538,0,5.05,-44.25213675,0,0,7.397094017,0,0,0,0,0,0,0,0,0,0,0,-15.61461538,0,59.86675214,-51.64923077,7.397094017,0,0,0,0,0,0,0,0
37,0,0,5.67,-5.67,0,-12.41821782,23.75,0,0,-3.97,0,0,0,0,0,0,0,0,0,0,0,0,-5.67,5.67,0,12.41821782,-23.75,0,0,3.97,0,0,0,0,0,0,0,0,0,0,0,0,-18.08821782,41.83821782,-27.72,3.97,0,0,0,0,0,0,0,0
38,0,0,5.05,-6.05,0,-12.09206349,25.34171076,0,0,-4.236067019,0,0,0,0,0,0,0,0,0,0,0,0,-5.05,6.05,0,12.09206349,-25.34171076,0,0,4.236067019,0,0,0,0,0,0,0,0,0,0,0,-1,-17.14206349,43.48377425,-29.57777778,4.236067019,0,0,0,0,0,0,0,0
39,0,0,-32.48727521,-6.05,0,31.39171076,25.34171076,0,0,-4.236067019,0,0,0,0,0,0,0,0,0,0,0,0,32.48727521,6.05,0,-31.39171076,-25.34171076,0,0,4.236067019,0,0,0,0,0,0,0,0,0,0,0,-38.53727521,63.87898597,0,-29.57777778,4.236067019,0,0,0,0,0,0,0,0
40,-16.9,0,0,5.67,5.75,5.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9,0,0,-5.67,-5.75,-5.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.9,28.32,5.85,-11.52,-5.75,0,0,0,0,0,0,0,0,0
41,-16.9,0,0,0,5.75,0,23.75,0,0,-3.97,0,0,0,0,0,0,0,0,0,0,16.9,0,0,0,-5.75,0,-23.75,0,0,3.97,0,0,0,0,0,0,0,0,0,0,-16.9,22.65,0,23.75,-33.47,3.97,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,-9.046726343,11.46222506,5,17.50097187,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9.046726343,-11.46222506,-5,-17.50097187,0,0,0,0,0,-5,0,0,0,0,0,-9.046726343,43.00992327,0,0,0,0,-11.46222506,0,-22.50097187,0
43,0,0,0,0,0,0,0,0,0,-3.97,5.03,-16.68,7.68,0,0,0,0,0,26.32992327,0,0,0,0,0,0,0,0,0,0,3.97,-5.03,16.68,-7.68,0,0,0,0,0,-26.32992327,0,0,0,0,0,-3.97,0,0,0,0,0,-5.03,43.00992327,-34.00992327,0
44,0,0,0,0,0,0,0,0,0,-3.97,5.03,0,7.68,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3.97,-5.03,0,-7.68,0,0,0,0,0,-5,0,0,0,0,0,-3.97,16.68,0,0,0,0,-5.03,5,-12.68,0
45,0,0,0,0,0,0,0,0,0,-3.97,5.03,3.91,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97,-5.03,-3.91,-7.68,0,0,0,0,0,0,0,0,0,0,0,-3.97,20.59,0,0,0,0,-5.03,-3.91,-7.68,0
46,0,0,0,0,0,0,0,0,0,-3.97,5.03,9.91576,7.68,0,0,0,0,0,-7.68,0,0,0,0,0,0,0,0,0,0,3.97,-5.03,-9.91576,-7.68,0,0,0,0,0,7.68,0,0,0,0,0,-3.97,26.59576,0,0,0,0,-5.03,-17.59576,0,0
