,line_1,line_2,line_3,line_4,line_5,line_6,line_7,line_8,line_9,line_10,line_11,line_12,line_13,line_14,line_15,line_16,line_17,line_18,line_19,line_20,line_21,line_22,line_23,line_24,line_25,line_26,line_27,line_28,line_29,line_30,line_31,line_32,line_33,line_34,line_35,line_36,line_37,line_38,line_39,line_40,Cons_1,Cons_2,Cons_3,Cons_4,Cons_5,Cons_6,Cons_7,Cons_8,Cons_9,Cons_10,Cons_11,Cons_12,Cons_13,Cons_14
1/1/2007 10:00,168.8559751,75.41742608,77.56080317,56.43885815,39.27935741,-31.59336219,-74.125025,6.292485839,14.10129665,27.81911177,15.03110529,13.51443417,31.27531594,-51.0913462,57.38383204,6.447058255,14.2734366,-9.069602271,3.087392444,11.41292255,-168.8559751,-75.41742608,-77.56080317,-56.43885815,-39.27935741,31.59336219,74.125025,-6.292485839,-14.10129665,-27.81911177,-15.03110529,-13.51443417,-31.27531594,51.0913462,-57.38383204,-6.447058255,-14.2734366,9.069602271,-3.087392444,-11.41292255,-244.2734012,-4.423043613,109.1541654,78.57673847,12.75264672,-32.00174363,0,-51.0913462,50.76463384,15.51666053,5.961503019,10.42704173,22.94978583,25.68635915
1/1/2007 11:00,168.1799108,75.38925832,77.18678091,56.47773271,39.47328533,-31.12034839,-73.48703343,7.718963588,14.31525447,28.89156505,14.55006885,13.18907276,30.48963802,-48.06108489,55.78004848,6.469569784,14.04728222,-8.726623022,2.991737254,11.06163886,-168.1799108,-75.38925832,-77.18678091,-56.47773271,-39.47328533,31.12034839,73.48703343,-7.718963588,-14.31525447,-28.89156505,-14.55006885,-13.18907276,-30.48963802,48.06108489,-55.78004848,-6.469569784,-14.04728222,8.726623022,-2.991737254,-11.06163886,-243.5691691,-4.957888156,108.3071293,76.81019969,12.48394518,-29.33721458,0,-48.06108489,49.57845094,15.19619281,5.823445831,10.1973355,22.41973641,25.10892108
1/1/2007 12:00,167.5905475,75.35318391,77.05057427,56.5129278,39.62756753,-30.92640331,-72.99734001,8.924521848,14.46948907,29.77497769,14.12115332,12.88047036,29.77681847,-45.3698703,54.29439215,6.470798436,13.83843576,-8.416417298,2.922118368,10.74957278,-167.5905475,-75.35318391,-77.05057427,-56.5129278,-39.62756753,30.92640331,72.99734001,-8.924521848,-14.46948907,-29.77497769,-14.12115332,-12.88047036,-29.77681847,45.3698703,-54.29439215,-6.470798436,-13.83843576,8.416417298,-2.922118368,-10.74957278,-242.9437314,-5.600522066,107.9769776,75.18985358,12.20843373,-27.00346445,0,-45.3698703,48.45464702,14.88721573,5.704736023,9.958351989,21.94936406,24.58800854
1/1/2007 13:00,166.6401228,75.33493292,76.69576073,56.6542136,39.92757863,-30.37004508,-72.35012039,10.85484932,14.74522961,31.17196421,13.47719425,12.41916821,28.67779299,-41.20172659,52.05657591,6.388904648,13.53421379,-7.970685577,2.796221098,10.33045716,-166.6401228,-75.33493292,-76.69576073,-56.6542136,-39.92757863,30.37004508,72.35012039,-10.85484932,-14.74522961,-31.17196421,-13.47719425,-12.41916821,-28.67779299,41.20172659,-52.05657591,-6.388904648,-13.53421379,7.970685577,-2.796221098,-10.33045716,-241.9750557,-6.637430138,107.0658058,73.03420998,11.74042694,-23.40219124,0,-41.20172659,46.87868709,14.35959022,5.506508671,9.622947113,21.14355693,23.86467095
1/1/2007 14:00,166.4012155,75.3269504,76.64543542,56.67444429,39.99863755,-30.29093629,-72.14141343,11.34454259,14.81416852,31.53432111,13.3059981,12.31195858,28.42108836,-40.13937691,51.48391951,6.379892203,13.47857783,-7.848559221,2.766124956,10.22026779,-166.4012155,-75.3269504,-76.64543542,-56.67444429,-39.99863755,30.29093629,72.14141343,-11.34454259,-14.81416852,-31.53432111,-13.3059981,-12.31195858,-28.42108836,40.13937691,-51.48391951,-6.379892203,-13.47857783,7.848559221,-2.766124956,-10.22026779,-241.7281659,-6.917301756,106.9363717,72.36621032,11.6498534,-22.50472393,0,-40.13937691,46.43961799,14.22845142,5.457438881,9.545833625,20.96694553,23.69884562
1/1/2007 15:00,165.2997969,75.27004284,76.31203026,56.7329344,40.30044498,-29.84471517,-71.14010023,13.65859685,15.14727998,33.35345566,12.43551243,11.82650222,27.27933458,-35.15518054,48.81377739,6.291975498,13.24748174,-7.20186155,2.643292895,9.635044647,-165.2997969,-75.27004284,-76.31203026,-56.7329344,-40.30044498,29.84471517,71.14010023,-13.65859685,-15.14727998,-33.35345566,-12.43551243,-11.82650222,-27.27933458,35.15518054,-48.81377739,-6.291975498,-13.24748174,7.20186155,-2.643292895,-9.635044647,-240.5698397,-8.045612749,106.1567454,69.22244263,11.07693194,-18.18789357,0,-35.15518054,44.42160013,13.49383705,5.233650878,9.183209324,20.28758283,22.88252639
1/1/2007 16:00,164.0893116,75.17612388,75.86941277,56.79314595,40.59189153,-29.27030435,-70.18877688,16.15701436,15.45968288,35.11802943,11.59217436,11.19306453,25.83036268,-29.54242052,45.69943487,6.300941711,12.81409582,-6.58924918,2.509623318,9.018461234,-164.0893116,-75.17612388,-75.86941277,-56.79314595,-40.59189153,29.27030435,70.18877688,-16.15701436,-15.45968288,-35.11802943,-11.59217436,-11.19306453,-25.83036268,29.54242052,-45.69943487,-6.300941711,-12.81409582,6.58924918,-2.509623318,-9.018461234,-239.2654355,-9.16513861,105.1397171,66.09492125,10.46120911,-13.49757215,0,-29.54242052,42.04408022,12.89019089,5.002925184,8.683441213,19.32152477,21.83255706
1/1/2007 17:00,165.8939965,75.21827442,76.15486806,56.52384409,40.03183891,-29.8783549,-71.37373641,12.53692473,14.96909509,32.66497372,12.755148,12.07757454,28.00321869,-37.48922408,50.02614882,6.560981108,13.73328932,-7.38239807,2.793751032,9.958510141,-165.8939965,-75.21827442,-76.15486806,-56.52384409,-40.03183891,29.8783549,71.37373641,-12.53692473,-14.96909509,-32.66497372,-12.755148,-12.07757454,-28.00321869,37.48922408,-50.02614882,-6.560981108,-13.73328932,7.38239807,-2.793751032,-9.958510141,-241.112271,-6.816554524,106.033223,70.51320578,11.21140319,-20.1709675,0,-37.48922408,44.70097347,13.94337918,5.37274993,9.283823505,20.83845958,23.69179946
1/1/2007 18:00,172.2579957,75.4956882,78.62575956,55.88190035,38.22206516,-33.40025113,-76.15872664,0.151879732,13.5744169,23.68089926,17.43718749,15.40513247,35.94682981,-66.06675904,66.21863877,6.88361515,16.06362335,-10.79812323,3.712260261,13.27818976,-172.2579957,-75.4956882,-78.62575956,-55.88190035,-38.22206516,33.40025113,76.15872664,-0.151879732,-13.5744169,-23.68089926,-17.43718749,-15.40513247,-35.94682981,66.06675904,-66.21863877,-6.88361515,-16.06362335,10.79812323,-3.712260261,-13.27818976,-247.7536839,-0.471729364,112.0260107,84.91407923,13.87812746,-45.10825052,0,-66.06675904,56.84581717,17.68173838,6.639064263,11.69287221,26.38090031,29.34181311
1/1/2007 19:00,174.1082894,75.73356741,79.46237058,56.35044158,37.89755804,-33.88560863,-79.4605193,-5.679766208,12.00511846,18.97060615,18.544232,15.96194025,37.1164547,-75.05202079,69.37225459,6.455768,15.92160505,-11.544232,3.761940252,13.87839495,-174.1082894,-75.73356741,-79.46237058,-56.35044158,-37.89755804,33.88560863,79.4605193,5.679766208,-12.00511846,-18.97060615,-18.544232,-15.96194025,-37.1164547,75.05202079,-69.37225459,-6.455768,-15.92160505,11.544232,-3.761940252,-13.87839495,-249.8418568,0.397919167,113.3479792,95.6,15.2,-52.65202079,0,-75.05202079,59,18,7,12.2,27,29.8
